,Brand,Original_price,Discount_price,Camera,Pixels,WiFi Connectivity,Discount,Ratings
393,Swa,"10,895","₹3,699",,,No,66,2
394,SONY,,,,,No,,
395,SONY,"80,490","₹65,488",Mirrorless Camera,24,Yes,18,4.5
396,Canon,"94,995","₹58,990",Mirrorless Camera,26,Yes,37,4.4
397,Enfogo,"7,000","₹1,717",,16,No,75,
398,ephorus,"3,999","₹1,799",IP Camera,5,Yes,55,
399,janiya,"12,999","₹2,799",,,No,78,3.1
400,ENMORA,"2,500","₹1,614",Action CameraWaterproof Camera,16,No,35,
401,VECTOBOT,"3,999","₹1,999",Action Camera,16,Yes,50,
402,Exxelo,"2,999",₹999,,5,No,66,3.1
403,AAlly,"4,000","₹1,712",,16,No,57,3.3
404,janiya,"4,999","₹2,999",,,No,40,3.2
405,First,"2,999","₹1,199",Action Camera,12,No,60,2.3
406,Bzrqx,"2,000",₹899,Baby CameraSports Camera,8,No,55,3.3
407,RISHUO,"9,999","₹4,999",,,No,50,2.5
408,BNK,"3,000","₹1,274",,,No,57,
409,FUJIFILM,"9,99","₹9,495",,,No,55,
410,Canon,"1,19,995","₹91,990",Mirrorless Camera,24,Yes,23,4.7
411,Canon,"64,995","₹41,999",Mirrorless Camera,24,Yes,35,4.4
412,Qaz,"3,999","₹1,172",,12,No,70,3.5
413,Swa,"8,999","₹3,399",,,No,62,
414,Toyrist,"5,999","₹4,999",HD Camera,,No,16,
415,Clubics,"9,999","₹2,999",WiFi Camera,,Yes,70,3.4
416,Canon,"92,995","₹73,990",Mirrorless Camera,24,Yes,20,4.7
417,Canon,"97,995","₹78,990",Mirrorless Camera,24,No,19,4.6
418,Raptas,"2,500","₹1,274",Sports Camera,12,No,49,3.3
419,PICSTAR,"11,999","₹6,999",HD Camera,,No,41,
420,Canon,"94,995","₹58,990",Mirrorless Camera,26,Yes,37,4.4
421,Insta360,"54,990","₹29,990",,12,No,45,2.8
422,SrO,"6,000","₹2,348",,1080,No,60,3.6
423,Swa,"8,999","₹2,799",,,No,68,
424,RECTITUDE,"6,999","₹2,394",Dual Camera,,Yes,65,2.5
425,Drone,"9,999","₹2,999",,,No,70,
426,HomeEye,"3,499",₹840,Video CameraSecurity CameraAction Camera,2,No,75,
427,Wincomm,"3,999","₹1,759",Action CameraAction Camera,16,No,56,
428,SONY,"5,59,990","₹4,99,988",Mirrorless Camera,50,Yes,10,
429,CALLIE,"2,400","₹1,175",,16,No,51,2.9
430,DRONE,"9,999","₹2,499",WiFi Camera,,Yes,75,
431,Enfogo,"7,000","₹1,728",,16,No,75,2.6
432,Elevea,"7,000","₹1,699",,16,No,75,
433,MUGO,"16,999","₹2,110",With Camera,,No,87,2.8
434,Wintwilla,"9,999","₹4,999",,,No,50,
435,TFG,"1,300",₹892,,12,No,31,3.1
436,Canon,"1,19,995","₹91,990",Mirrorless Camera,24,Yes,23,4.7
437,Canon,"64,995","₹41,999",Mirrorless Camera,24,Yes,35,4.4
438,NIKON,"1,05,995","₹91,999",DSLR Camera,21,Yes,13,
439,VECTOBOT,"5,900","₹1,709",Action CameraAction Camera,16,No,71,
440,Canon,"92,995","₹73,990",Mirrorless Camera,24,Yes,20,4.7
441,Canon,"97,995","₹78,990",Mirrorless Camera,24,No,19,4.6
442,TFG,"1,649","₹1,189",,12,No,27,3.2
443,Swa,"9,999","₹3,359",,,No,66,3.5
444,rudra,"1,500",₹899,,,No,40,3
445,SROPX,"2,499",₹799,,12,No,68,2.6
446,Canon,"94,995","₹58,990",Mirrorless Camera,26,Yes,37,4.4
